country,year,D1,D2,total_respondents,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,refused,dont_know
BG,2023.0,0.04448150086391709,-0.05874255642806373,1039.0,45.0,36.0,67.0,65.0,212.0,145.0,114.0,112.0,26.0,80.0,40.0,97.0
BG,2024.5,0.0676276217796021,-0.11543967674671397,1041.0,54.0,28.0,66.0,72.0,155.0,121.0,143.0,115.0,40.0,83.0,80.0,84.0
BG,2025.0,0.051293806841143284,-0.10920434341457548,1041.0,48.0,26.0,68.0,54.0,177.0,149.0,130.0,96.0,39.0,86.0,74.0,94.0
CY,2007.0,-0.01897622385000641,-0.28794808729184507,500.0,55.0,18.0,14.0,10.0,85.0,34.0,20.0,39.0,13.0,49.0,127.0,36.0
CY,2010.0,-0.04273829427509683,-0.2921345832512939,501.0,37.0,17.0,17.0,17.0,73.0,31.0,21.0,32.0,11.0,36.0,162.0,47.0
CY,2012.0,-0.07942737591653587,-0.3201555499158049,510.0,36.0,15.0,15.0,13.0,71.0,24.0,10.0,34.0,15.0,59.0,157.0,61.0
CY,2014.0,-0.15265769055774117,-0.26814461954160895,499.0,45.0,9.0,16.0,8.0,81.0,20.0,23.0,24.0,14.0,39.0,127.0,93.0
CY,2015.0,-0.1596088785545556,-0.24100037917294626,500.0,33.0,3.0,16.0,14.0,100.0,17.0,28.0,39.0,2.0,38.0,116.0,94.0
CY,2016.0,-0.10010738586204082,-0.28556039581363135,500.0,22.0,10.0,23.0,7.0,88.0,24.0,19.0,34.0,11.0,39.0,152.0,71.0
CY,2017.0,-0.11765843931553194,-0.2915130448316567,502.0,37.0,6.0,15.0,15.0,103.0,17.0,12.0,25.0,11.0,47.0,149.0,65.0
CY,2019.0,-0.21657056630012783,-0.20165320158596628,504.0,32.0,12.0,9.0,20.0,85.0,17.0,22.0,27.0,15.0,36.0,81.0,148.0
CY,2020.0,-0.10652506506572243,-0.26023377861002517,507.0,28.0,15.0,21.0,12.0,98.0,20.0,23.0,34.0,9.0,27.0,146.0,74.0
CY,2020.5,-0.06184212002693644,-0.28389172511721794,504.0,33.0,10.0,20.0,16.0,88.0,17.0,28.0,31.0,14.0,42.0,155.0,50.0
CY,2021.0,-0.07677037958165185,-0.2662570890844832,504.0,24.0,12.0,23.0,26.0,83.0,17.0,25.0,29.0,13.0,39.0,149.0,64.0
CY,2021.5,-0.05983003379320501,-0.2923691097916355,503.0,28.0,11.0,18.0,17.0,81.0,23.0,32.0,27.0,8.0,30.0,175.0,53.0
CY,2022.0,-0.10609702105120859,-0.252405260159231,504.0,25.0,15.0,16.0,15.0,99.0,26.0,20.0,26.0,13.0,42.0,134.0,73.0
CY,2023.0,-0.05812510518225524,-0.1867397499927225,505.0,23.0,17.0,20.0,21.0,121.0,34.0,30.0,35.0,14.0,40.0,98.0,52.0
CY,2024.5,-0.044464891742750805,-0.20136813629991826,501.0,26.0,9.0,13.0,23.0,116.0,45.0,38.0,31.0,9.0,37.0,107.0,47.0
CY,2025.0,-0.06749493088546535,-0.1741828591147679,502.0,21.0,10.0,21.0,21.0,114.0,54.0,35.0,23.0,15.0,30.0,96.0,62.0
CZ,2007.0,0.012606370123672729,-0.08607142575273362,1107.0,70.0,22.0,63.0,77.0,272.0,114.0,99.0,100.0,24.0,95.0,93.0,78.0
CZ,2010.0,0.05611231508330899,-0.04092072373850656,1014.0,76.0,36.0,90.0,100.0,214.0,105.0,95.0,93.0,28.0,62.0,67.0,48.0
CZ,2012.0,0.021760387213677623,-0.07064360981451606,1001.0,105.0,29.0,90.0,75.0,251.0,74.0,88.0,74.0,24.0,58.0,78.0,55.0
CZ,2014.0,0.033310848007494544,-0.022032770596381795,1043.0,72.0,30.0,93.0,68.0,277.0,93.0,121.0,85.0,31.0,68.0,38.0,67.0
CZ,2015.0,0.026181035440024442,0.019955218856294775,1026.0,73.0,36.0,86.0,110.0,285.0,102.0,90.0,64.0,23.0,67.0,32.0,58.0
CZ,2016.0,0.05920936858375006,0.012019686556266137,1029.0,63.0,25.0,93.0,104.0,302.0,100.0,103.0,76.0,21.0,68.0,42.0,32.0
CZ,2017.0,0.03879077887057481,0.009110763705731965,1007.0,43.0,20.0,82.0,92.0,288.0,117.0,103.0,87.0,23.0,60.0,37.0,55.0
CZ,2019.0,0.0788249316641888,-0.01208362823820111,1002.0,57.0,21.0,62.0,78.0,333.0,112.0,88.0,85.0,31.0,75.0,19.0,41.0
CZ,2020.0,0.20506874407877138,-0.0010733005015711942,1150.0,16.0,17.0,60.0,110.0,301.0,163.0,211.0,147.0,45.0,50.0,9.0,21.0
CZ,2020.5,0.24850792888176904,-0.006871594524034971,1045.0,19.0,12.0,65.0,101.0,228.0,157.0,166.0,179.0,61.0,47.0,3.0,7.0
CZ,2021.0,0.1825835066549919,0.031238317520087586,1035.0,30.0,26.0,70.0,91.0,306.0,150.0,158.0,90.0,41.0,56.0,5.0,12.0
CZ,2021.5,0.18089604484159968,0.004438511838882951,1074.0,26.0,24.0,59.0,80.0,334.0,146.0,156.0,126.0,42.0,54.0,8.0,19.0
CZ,2022.0,0.16951059711918703,0.020797528190669483,1003.0,31.0,25.0,65.0,67.0,326.0,144.0,131.0,116.0,34.0,39.0,11.0,14.0
CZ,2023.0,0.17418196840151295,-0.000750093453482894,1013.0,44.0,19.0,50.0,75.0,344.0,144.0,125.0,100.0,34.0,54.0,8.0,16.0
CZ,2024.5,0.15814656048616033,0.020901005514326908,1018.0,30.0,22.0,54.0,110.0,278.0,188.0,113.0,113.0,42.0,30.0,18.0,20.0
CZ,2025.0,0.09254494711426674,0.1699787437302681,1007.0,23.0,23.0,67.0,119.0,347.0,159.0,123.0,69.0,36.0,25.0,5.0,11.0
DE,2007.0,-0.019244896628110856,0.16244796667750888,1510.0,46.0,54.0,171.0,232.0,536.0,168.0,100.0,52.0,2.0,20.0,72.0,57.0
DE,2010.0,-0.027979411558674984,0.14119135880538466,1519.0,35.0,55.0,155.0,193.0,485.0,210.0,134.0,59.0,6.0,4.0,85.0,98.0
DE,2012.0,-0.04398038052519751,0.17429685240141632,1510.0,38.0,42.0,167.0,231.0,510.0,216.0,101.0,32.0,6.0,5.0,71.0,91.0
DE,2014.0,-0.01899315044995731,0.09791243107915366,1571.0,41.0,42.0,179.0,214.0,450.0,214.0,124.0,58.0,18.0,21.0,105.0,105.0
DE,2015.0,-0.022717626199665802,0.12310692495938282,1543.0,36.0,45.0,168.0,196.0,488.0,208.0,124.0,64.0,9.0,10.0,107.0,88.0
DE,2016.0,-0.027820742658975238,0.15149255640382922,1536.0,39.0,48.0,176.0,224.0,486.0,224.0,97.0,49.0,13.0,7.0,88.0,85.0
DE,2017.0,0.003284723674699185,0.12909566769834352,1536.0,56.0,69.0,179.0,203.0,463.0,228.0,112.0,53.0,14.0,17.0,74.0,68.0
DE,2019.0,0.02768527274272266,0.1850597835507717,1505.0,62.0,63.0,198.0,242.0,517.0,180.0,94.0,53.0,17.0,21.0,22.0,36.0
DE,2020.0,0.01846428117253717,0.23527104483259073,1686.0,47.0,57.0,212.0,274.0,621.0,239.0,137.0,36.0,5.0,2.0,19.0,37.0
DE,2020.5,0.019968305284532164,0.21798650184144053,1504.0,30.0,77.0,195.0,237.0,544.0,207.0,103.0,36.0,6.0,15.0,22.0,32.0
DE,2021.0,0.02822389054807078,0.17665793424820525,1517.0,53.0,48.0,190.0,205.0,515.0,237.0,114.0,60.0,11.0,17.0,18.0,49.0
DE,2021.5,-0.012480298481653083,0.2195451723034239,1512.0,20.0,54.0,165.0,233.0,609.0,207.0,95.0,35.0,6.0,8.0,38.0,42.0
DE,2022.0,0.006369835412438451,0.19574095337210676,1500.0,40.0,49.0,160.0,192.0,576.0,232.0,114.0,46.0,8.0,8.0,40.0,35.0
DE,2023.0,0.02637464954275028,0.1627636065371653,1533.0,40.0,39.0,130.0,188.0,542.0,234.0,183.0,66.0,18.0,11.0,23.0,59.0
DE,2024.5,0.07634157079793541,0.1404332131583545,1529.0,42.0,55.0,153.0,197.0,463.0,265.0,168.0,72.0,24.0,35.0,34.0,21.0
DE,2025.0,0.031259243303861386,0.1421340784579423,1505.0,46.0,55.0,127.0,168.0,552.0,210.0,140.0,93.0,21.0,16.0,25.0,52.0
DK,2007.0,0.14340569597870087,0.11086800961985692,998.0,20.0,27.0,126.0,139.0,242.0,101.0,163.0,104.0,21.0,29.0,9.0,17.0
DK,2010.0,0.12141732294365687,0.06925249727254662,1007.0,53.0,62.0,137.0,133.0,190.0,93.0,115.0,97.0,28.0,43.0,16.0,40.0
DK,2012.0,0.16565612886126135,0.07761003229990249,1029.0,55.0,64.0,114.0,132.0,191.0,101.0,166.0,115.0,24.0,35.0,9.0,23.0
DK,2014.0,0.12727788901287312,0.035498817363186365,1024.0,51.0,45.0,137.0,123.0,183.0,97.0,136.0,114.0,26.0,47.0,30.0,35.0
DK,2015.0,0.15063641462205563,0.05877774324937784,1007.0,56.0,49.0,125.0,127.0,178.0,109.0,143.0,86.0,53.0,35.0,13.0,33.0
DK,2016.0,0.1354371368627476,0.053137082476405716,1008.0,56.0,34.0,133.0,123.0,199.0,116.0,112.0,113.0,25.0,53.0,15.0,29.0
DK,2017.0,0.07778142255013339,0.06340247740795484,1002.0,49.0,51.0,132.0,126.0,212.0,90.0,121.0,84.0,23.0,39.0,22.0,53.0
DK,2019.0,0.14143832482912405,0.07974474930989257,1013.0,48.0,66.0,123.0,127.0,195.0,113.0,143.0,104.0,27.0,24.0,19.0,24.0
DK,2020.0,0.15605404911132412,0.11734173064056029,1017.0,30.0,66.0,152.0,164.0,189.0,99.0,148.0,97.0,15.0,21.0,17.0,19.0
DK,2020.5,0.2178940299356216,0.10618343186395152,1047.0,42.0,79.0,180.0,132.0,154.0,112.0,158.0,114.0,36.0,24.0,6.0,10.0
DK,2021.0,0.18506382360535223,0.08154963073640213,1023.0,62.0,72.0,145.0,121.0,181.0,92.0,148.0,114.0,31.0,31.0,10.0,16.0
DK,2021.5,0.1595067836154851,0.08759069664186458,1004.0,49.0,58.0,144.0,114.0,186.0,117.0,153.0,93.0,29.0,30.0,9.0,22.0
DK,2022.0,0.16719856224331262,0.06559692308449369,1003.0,50.0,49.0,131.0,119.0,178.0,139.0,135.0,96.0,35.0,42.0,14.0,15.0
DK,2023.0,0.16878290007255647,0.10262100669403695,1009.0,32.0,93.0,133.0,114.0,185.0,137.0,136.0,101.0,29.0,17.0,12.0,20.0
DK,2024.5,0.17389045778308942,0.1104907529583108,1016.0,44.0,62.0,150.0,155.0,164.0,137.0,141.0,88.0,27.0,20.0,11.0,17.0
DK,2025.0,0.13653814112084386,0.12815445770615105,1003.0,33.0,59.0,145.0,138.0,185.0,145.0,160.0,64.0,20.0,9.0,16.0,29.0
EE,2007.0,-0.13080270017406992,-0.10584695394231251,1011.0,22.0,7.0,34.0,55.0,186.0,149.0,104.0,115.0,51.0,41.0,41.0,206.0
EE,2010.0,-0.10889068916919054,-0.11152304800027726,1001.0,26.0,12.0,40.0,48.0,221.0,124.0,85.0,85.0,33.0,31.0,113.0,183.0
EE,2012.0,-0.1111276071066558,-0.1096779436937743,1000.0,47.0,19.0,43.0,44.0,226.0,82.0,98.0,79.0,17.0,45.0,115.0,185.0
EE,2014.0,-0.20613832728945924,-0.05180271150870016,998.0,36.0,17.0,35.0,41.0,250.0,62.0,88.0,68.0,23.0,44.0,44.0,290.0
